Categoria,Ejercicio,Intensidad,Equipo_Requerido,Grupo_Muscular_Primario,Grupo_Muscular_Secundario,Dificultad,Duracion_Estimada_x_Set(min),Quemado_Calorico_x_Minuto,Impacto,Descripcion_Corta,Alternativas_Equipo,Tipo_Ejercicio,Sets_Recomendados,Reps_Recomendadas,Requerimiento_Movilidad,Estabilidad_Requerida
Core,Plancha isométrica larga,Baja,Ninguno,Abdomen,Full Body,Principiante,3,2.5,3,"Plancha mantenida por tiempo prolongado",Ninguno,Isometrico,3,60-90s,Baja,Alta
Core,Plancha con toque de rodilla,Media,Ninguno,Abdomen,Full Body,Intermedio,3,4.5,2,"Plancha alta alternando rodilla al codo",Ninguno,Strength,4,10-12 por lado,Media,Alta
Core,Crunches con giro,Media,Ninguno,Abdomen,Oblicuos,Intermedio,3,4.5,2,"Crunch con rotación hacia cada lado",Ninguno,Strength,4,15-20 por lado,Media,Media
Core,Levantamiento de piernas con balón,Baja,Balón/Toalla,Abdomen,Cuádriceps,Principiante,2,3.0,3,"Elevación de piernas sujetando balón",Ninguno,Strength,3,12-15,Baja,Baja
Core,Plancha en banco,Media,Banco/Silla,Abdomen,Ninguno,Intermedio,3,4.0,2,"Plancha alta con apoyo en banco",Ninguno,Isometrico,3,30-60s,Media,Alta
Core,V-ups con toque de pies,Alta,Ninguno,Abdomen,Cuádriceps,Avanzado,4,6.5,1,"V-ups alternando toque de pies",Ninguno,Strength,3,8-10,Alta,Alta
Core,Plancha en fitball improvisado,Media,Toalla/Cojín,Abdomen,Full Body,Intermedio,3,4.5,2,"Plancha alta con apoyo en cojín",Fitball,Isometrico,4,20-30s,Media,Alta
Core,Crunch con piernas en 90°,Media,Ninguno,Abdomen,Cuádriceps,Intermedio,3,4.8,2,"Crunch manteniendo piernas en ángulo recto",Ninguno,Strength,4,12-15,Media,Media
Core,Plancha con palmada,Alta,Ninguno,Abdomen,Full Body,Avanzado,4,6.5,1,"Plancha con palmada bajo el cuerpo (dinámico)",Ninguno,Plyometric,3,8-10,Alta,Alta
Core,Superman isométrico,Baja,Ninguno,Espalda baja,Glúteos,Principiante,2,2.0,3,"Superman estático mantenido",Ninguno,Isometrico,3,20-30s,Baja,Baja
Core,Elevación lateral de tronco,Baja,Ninguno,Oblicuos,Abdomen,Principiante,2,2.5,3,"Flexiones laterales de tronco en suelo",Ninguno,Strength,3,15-20 por lado,Baja,Baja
Core,Plancha con estiramiento de brazos,Media,Ninguno,Abdomen,Deltoides,Intermedio,3,4.0,2,"Plancha alta alternando estiramiento de brazos",Ninguno,Isometrico,4,8-10 por lado,Media,Alta
Full Body,Burpees,Alta,Ninguno,Full Body,Cardio,Intermedio,5,8.7,1,"Combinación de salto, flexión y squat jump",Ninguno,Cardio-Strength,4,10-15,Alta,Media
Full Body,Saltos de caja,Alta,Banco/Silla,Full Body,Glúteos,Avanzado,5,8.5,1,"Saltos pliométricos a banco improvisado",Escalón,Plyometric,4,8-10,Alta,Alta
Full Body,Escalador,Media,Ninguno,Full Body,Abdomen,Intermedio,4,7.0,2,"Movimiento rápido de rodillas al pecho en plancha",Ninguno,Cardio-Strength,4,20-30 por pierna,Media,Alta
Full Body,Jumping Jacks,Media,Ninguno,Full Body,Cardio,Principiante,3,6.5,2,"Saltos con apertura de piernas y brazos",Ninguno,Cardio,3,30-50,Media,Media
Full Body,Salto con rodillas al pecho,Alta,Ninguno,Full Body,Cardio,Avanzado,5,9.0,1,"Saltos elevando rodillas al pecho",Ninguno,Cardio,4,15-20,Alta,Media
Full Body,Skipping,Media,Ninguno,Full Body,Cardio,Principiante,3,6.0,2,"Carrera estática elevando rodillas",Ninguno,Cardio,3,1-2 minutos,Baja,Media
Full Body,Bear crawl,Media,Ninguno,Full Body,Abdomen,Intermedio,4,7.5,2,"Gateo en posición de oso (cuadrupedia)",Ninguno,Strength-Cardio,3,10-15 metros,Media,Alta
Full Body,Thrusters improvisados,Alta,Garrafas,Full Body,Glúteos,Avanzado,5,8.0,1,"Sentadilla + press overhead con garrafas",Mancuernas,Strength-Cardio,4,8-10,Alta,Alta
Full Body,Shadow boxing,Media,Ninguno,Full Body,Cardio,Intermedio,4,7.8,2,"Boxeo imaginario a alta velocidad",Ninguno,Cardio,3,1-2 minutos,Media,Baja
Full Body,Mountain climbers con rotación,Alta,Ninguno,Full Body,Oblicuos,Avanzado,5,8.5,1,"Mountain climbers con giro de rodilla al codo",Ninguno,Cardio-Strength,4,15-20 por lado,Alta,Alta
Full Body,Saltos a la comba,Alta,Cuerda,Full Body,Cardio,Intermedio,5,9.5,1,"Salto de cuerda a alta intensidad",Ninguno,Cardio,3,1-2 minutos,Alta,Media
Full Body,Sprint en el lugar,Alta,Ninguno,Full Body,Cardio,Avanzado,5,10.0,1,"Carrera estática máxima velocidad",Ninguno,Cardio,3,20-30 segundos,Alta,Media
Full Body,Dominadas en barra improvisada,Alta,Barra,Dorsales,Bíceps,Avanzado,4,7.0,1,"Dominadas usando barra improvisada",Ninguno,Strength,3,5-8,Alta,Alta
Full Body,Escalada en cuerda improvisada,Alta,Toalla/Cuerda,Full Body,Dorsales,Avanzado,5,9.0,1,"Escalada de cuerda usando toalla en barra",Cuerda,Strength-Cardio,3,3-5 repeticiones,Alta,Alta
Full Body,Gateo de cangrejo,Media,Ninguno,Full Body,Hombros,Intermedio,4,7.2,2,"Gateo en posición invertida (cangrejo)",Ninguno,Strength-Cardio,3,10-15 metros,Media,Alta
Full Body,Step-up con salto,Alta,Banco/Silla,Full Body,Glúteos,Avanzado,5,8.5,1,"Step-up con salto explosivo al subir",Escalón,Plyometric,4,8-10 por pierna,Alta,Alta
Full Body,Golpes explosivos con saco improvisado,Alta,Saco/Mochila,Full Body,Hombros,Avanzado,5,9.2,1,"Golpes rápidos a saco improvisado",Ninguno,Cardio-Strength,4,20-30 segundos,Alta,Baja
Full Body,Thrusters con garrafas,Alta,Garrafas,Full Body,Glúteos,Avanzado,5,8.0,1,"Sentadilla + press overhead con garrafas",Mancuernas,Strength-Cardio,4,6-10,Alta,Alta
Full Body,Desplantes con peso,Alta,Mochila,Full Body,Glúteos,Avanzado,4,7.5,1,"Zancadas con peso en mochila",Garrafas,Strength,4,8-10 por pierna,Alta,Alta
Full Body,Sentadilla con salto y giro,Alta,Ninguno,Full Body,Oblicuos,Avanzado,5,9.0,1,"Sentadilla con salto + giro de 90°",Ninguno,Plyometric,4,8-10,Alta,Media
Full Body,Flexiones con salto,Alta,Ninguno,Full Body,Pectoral,Avanzado,5,8.5,1,"Flexiones explosivas con salto al final",Ninguno,Plyometric,4,6-8,Alta,Alta
Full Body,Plancha con salto,Alta,Ninguno,Full Body,Abdomen,Avanzado,5,8.8,1,"Salto de rana desde posición de plancha",Ninguno,Plyometric,3,8-10,Alta,Alta
Full Body,Pino con flexión,Alta,Pared,Full Body,Hombros,Avanzado,5,9.5,1,"Flexiones en posición de pino contra pared",Ninguno,Strength,3,3-5,Alta,Alta
Full Body,Plancha con desplazamiento rápido,Alta,Ninguno,Full Body,Abdomen,Avanzado,5,9.0,1,"Plancha con desplazamientos laterales rápidos",Ninguno,Cardio-Strength,4,10-12,Alta,Alta
Full Body,Lanzamiento de balón improvisado,Alta,Balón/Mochila,Full Body,Hombros,Avanzado,5,8.5,1,"Lanzamientos explosivos de balón al suelo",Ninguno,Plyometric,4,10-12,Alta,Baja
Full Body,Elevaciones de piernas con impulso,Alta,Ninguno,Full Body,Abdomen,Avanzado,5,8.2,1,"Elevación de piernas con salto al final",Ninguno,Plyometric,4,10-12,Alta,Alta
Full Body,Sentadilla con puñetazos,Media,Ninguno,Full Body,Pectoral,Intermedio,4,7.5,2,"Sentadilla + puñetazo alternado",Ninguno,Strength-Cardio,4,12-15,Media,Media
Full Body,Abdominales explosivos,Alta,Ninguno,Full Body,Abdomen,Avanzado,5,8.5,1,"Crunch con salto al final del movimiento",Ninguno,Plyometric,4,10-12,Alta,Baja
Full Body,Zancadas dinámicas,Alta,Ninguno,Full Body,Glúteos,Avanzado,5,8.8,1,"Zancadas con salto y cambio de pierna",Ninguno,Plyometric,4,10-12 por pierna,Alta,Media
Full Body,Saltos de patinador,Alta,Ninguno,Full Body,Glúteos,Avanzado,5,9.2,1,"Saltos laterales imitando patinador de velocidad",Ninguno,Plyometric,4,8-10 por lado,Alta,Media
Full Body,Plancha con salto lateral,Alta,Ninguno,Full Body,Abdomen,Avanzado,5,9.0,1,"Saltos laterales desde posición de plancha",Ninguno,Plyometric,4,8-10,Alta,Alta
Full Body,Salto con giro de 180°,Alta,Ninguno,Full Body,Oblicuos,Avanzado,5,9.5,1,"Salto vertical con giro completo",Ninguno,Plyometric,3,6-8,Alta,Media
Full Body,Carrera con rodillas altas,Alta,Ninguno,Full Body,Cardio,Avanzado,5,10.0,1,"Carrera estática elevando rodillas al máximo",Ninguno,Cardio,3,20-30 segundos,Alta,Media
Full Body,Flexiones en explosión,Alta,Ninguno,Full Body,Pectoral,Avanzado,5,8.7,1,"Flexiones explosivas con máxima velocidad",Ninguno,Plyometric,4,8-10,Alta,Alta
Full Body,Sprint con cambios de ritmo,Alta,Ninguno,Full Body,Cardio,Avanzado,5,10.5,1,"Sprints alternando velocidades (HIIT)",Ninguno,Cardio,4,30s rápido + 30s lento,Alta,Media
Full Body,Escaladores cruzados,Alta,Ninguno,Full Body,Oblicuos,Avanzado,5,9.0,1,"Mountain climbers con rodilla al codo opuesto",Ninguno,Cardio-Strength,4,15-20 por lado,Alta,Alta
Full Body,Jump squats,Alta,Ninguno,Full Body,Glúteos,Avanzado,5,9.2,1,"Sentadilla con salto explosivo",Ninguno,Plyometric,4,10-12,Alta,Media
Full Body,Flexiones con salto y cambio de mano,Alta,Ninguno,Full Body,Pectoral,Avanzado,5,9.0,1,"Flexión explosiva con salto y cambio de apoyo",Ninguno,Plyometric,3,6-8,Alta,Alta
Full Body,Caminata lateral en plancha,Media,Ninguno,Full Body,Abdomen,Intermedio,4,7.5,2,"Desplazamiento lateral en posición de plancha",Ninguno,Strength-Cardio,3,10-12 pasos,Media,Alta
Full Body,Golpes con mancuernas improvisadas,Alta,Garrafas,Full Body,Hombros,Avanzado,5,8.8,1,"Golpes rápidos con peso en manos",Mancuernas,Strength-Cardio,4,15-20,Alta,Baja
Full Body,Saltos con peso en mochila,Alta,Mochila,Full Body,Glúteos,Avanzado,5,9.5,1,"Saltos pliométricos con mochila cargada",Chaleco lastrado,Plyometric,3,8-10,Alta,Alta
Full Body,Flexiones con desplante,Alta,Ninguno,Full Body,Pectoral,Avanzado,5,8.5,1,"Flexión + desplante lateral alternado",Ninguno,Plyometric,4,6-8 por lado,Alta,Alta
Full Body,Marcha rápida en el sitio,Media,Ninguno,Full Body,Cardio,Principiante,3,6.0,2,"Marcha rápida elevando rodillas",Ninguno,Cardio,3,1-2 minutos,Baja,Media
Full Body,Saltos laterales con resistencia,Alta,Banda elástica,Full Body,Glúteos,Avanzado,5,9.0,1,"Saltos laterales con banda de resistencia",Ninguno,Plyometric,4,10-12 por lado,Alta,Media
Full Body,Golpes en saco improvisado,Alta,Saco/Mochila,Full Body,Hombros,Avanzado,5,9.5,1,"Golpes continuos a saco improvisado",Ninguno,Cardio-Strength,4,20-30 segundos,Alta,Baja
Full Body,Sentadillas con estocada,Alta,Ninguno,Full Body,Glúteos,Avanzado,5,9.2,1,"Combinación de sentadilla + estocada",Ninguno,Plyometric,4,8-10,Alta,Media
Full Body,Thrusters con mancuernas improvisadas,Alta,Garrafas,Full Body,Glúteos,Avanzado,5,9.0,1,"Thrusters con garrafas como mancuernas",Mancuernas,Strength-Cardio,4,6-10,Alta,Alta
Full Body,Salto en estrella,Alta,Ninguno,Full Body,Cardio,Avanzado,5,9.5,1,"Salto con apertura de piernas y brazos en estrella",Ninguno,Plyometric,4,10-12,Alta,Media
Full Body,Plancha con movimientos circulares,Alta,Ninguno,Full Body,Abdomen,Avanzado,5,8.8,1,"Plancha con desplazamiento circular de piernas",Ninguno,Cardio-Strength,4,8-10 por lado,Alta,Alta
Full Body,Gateo en reversa,Media,Ninguno,Full Body,Abdomen,Intermedio,4,7.2,2,"Gateo hacia atrás en posición de oso",Ninguno,Strength-Cardio,3,10-15 metros,Media,Alta
Full Body,Burpees,Media,2,Intermedio,2,8.5,Full Body,Cardio
Full Body,Saltos caja,Alta,3,Avanzado,1,10.0,Full Body,Plyometric
